"","x"
"1","researcher"
"2","devised"
"3","practice"
"4","profile"
"5","inquiry"
"6","caseybruce2011"
"7","caseyetal2009"
"8","basedon"
"9","element"
"10","cycle"
"11","add"
"12","rating"
"13","participate"
"14","print"
"15","literacy"
"16","use"
"17","digital"
"18","media"
"19","propose"
"20","tool"
"21","help"
"22","teacher"
"23","plan"
"24","project"
"25","activity"
"26","optimize"
"27","learn"
"28","see"
"29","table"
"30","2"
"31","regard"
"32","matrix"
"33","question"
"34","encourage"
"35","map"
"36","anticipated"
"37","group"
"38","work"
"39","text"
"40","way"
"41","constant"
"42","emphasize"
"43","situation"
"44","maintained"
"45","ibse"
"46","five"
"47","constitute"
"48","ask"
"49","investigate"
"50","create"
"51","discuss"
"52","reflect"
"53","enable"
"54","sustained"
"55","enriched"
"56","range"
"57","confined"
"58","illustrate"
"59","surface"
"60","deep"
"61","implicit"
"62","dimension"
"63","pedagogy"
"64","gleaned"
"65","observational"
"66","data"
"67","achieve"
"68","authors"
"69","present"
"70","redacted"
"71","research"
"72","field"
"73","note"
"74","one"
"75","case"
"76","study"
"77","titled"
"78","make"
"79","banana"
"80","split"
"81","describe_ption"
"82","involve"
"83","class"
"84","23"
"85","boy"
"86","8"
"87","9"
"88","yearolds"
"89","taught"
"90","recently"
"91","qualified"
"92","female"
"93","aid"
"94","special"
"95","resource"
"96","spans"
"97","three"
"98","week"
"99","state"
"100","aim"
"101","product"
"102","audiovisual"
"103","slide"
"104","show"
"105","begin"
"106","pupils"
"107","ingredient"
"108","need"
"109","review"
"110","key"
"111","vocabulary"
"112","word"
"113","cards"
"114","follow"
"115","phase"
"116","recipe"
"117","picture"
"118","made"
"119","assign"
"120","role"
"121","taker"
"122","maker"
"123","complete"
"124","much"
"125","fun"
"126","eat"
"127","finished"
"128","story"
"129","software"
"130","process"
"131","order"
"132","transition"
"133","effect"
"134","image"
"135","background"
"136","music"
"137","support"
"138","suitable"
"139","get"
"140","choice"
"141","piece"
"142","four"
"143","movie"
"144","showcase"
"145","school"
"146","structure"
"147","whereby"
"148","design"
"149","control"
"150","conditions"
"151","leaving"
"152","unsupported"
"153","ability"
"154","draw"
"155","upon"
"156","manage"
"157","instruct_guide"
"158","natural"
"159","impuls"
"160","toward"
"161","goal"
"162","often"
"163","guide"
"164","classroom"
"165","sometimes"
"166","seek"
"167","arouse"
"168","interest"
"169","times"
"170","specify"
"171","individual"
"172","within"
"173","still"
"174","function"
"175","model"
"176","scaffold"
"177","collaborative"
"178","task"
"179","per"
"180","se"
"181","final"
"182","end"
"183","student"
"184","participant"
"185","conceiving"
"186","social"
"187","value"
"188","perspective"
"189","contribute"
"190","others"
"191","primary"
