"","x"
"1","inquiry "
"2","science "
"3","learning "
"4","children "
"5","scientific "
"6","break "
"7","students "
"8","knowledge "
"9","questions "
"10","process "
"11","can "
"12","experiences "
"13","inquirybased "
"14","childrens "
"15","skills "
"16","teachers "
"17","data "
"18","new "
"19","ideas "
"20","early "
"21","activities "
"22","model "
"23","world "
"24","understanding "
"25","young "
"26","evidence "
"27","processes "
"28","thinking "
"29","education "
"30","practices "
"31","concepts "
"32","also "
"33","exploration "
"34","experience "
"35","used "
"36","teaching "
"37","observations "
"38","using "
"39","use "
"40","models "
"41","question "
"42","within "
"43","support "
"44","cycle "
"45","make "
"46","childhood "
"47","teacher "
"48","conceptual "
"49","study "
"50","develop "
"51","explanations "
"52","approach "
"53","objects "
"54","one "
"55","observation "
"56","guided "
"57","cognitive "
"58","instructional "
"59","understand "
"60","problems "
"61","reasoning "
"62","results "
"63","making "
"64","5e "
"65","development "
"66","based "
"67","curiosity "
"68","may "
"69","time "
"70","play "
"71","activity "
"72","problem "
"73","others "
"74","learners "
"75","asking "
"76","content "
"77","instruction "
"78","important "
"79","explore "
"80","key "
"81","involves "
"82","work "
"83","ways "
"84","different "
"85","practice "
"86","thus "
"87","research "
"88","often "
"89","guidance "
"90","language "
"91","curriculum "
"92","social "
"93","empirical "
"94","dimension "
"95","participation "
"96","developing "
"97","preschoolers "
"98","around "
"99","opportunities "
"100","interaction "
"101","prior "
"102","role "
"103","tools "
"104","specific "
"105","investigation "
"106","learn "
"107","classroom "
"108","however "
"109","exploring "
"110","meaningful "
"111","will "
"112","natural "
"113","engage "
"114","active "
"115","critical "
"116","need "
"117","discussion "
"118","investigations "
"119","concept "
"120","engaging "
"121","well "
"122","material "
"123","contexts "
"124","sense "
"125","predictions "
"126","environment "
"127","engagement "
"128","explanation "
"129","educational "
"130","point "
"131","order "
"132","discourse "
"133","appropriate "
"134","context "
"135","understandings "
"136","things "
"137","provide "
"138","set "
"139","hypotheses "
"140","open "
"141","preschool "
"142","theory "
"143","questioning "
"144","design "
"145","adults "
"146","focus "
"147","student "
"148","basic "
"149","primary "
"150","pedagogy "
"151","take "
"152","information "
"153","share "
"154","include "
"155","aspects "
"156","terms "
"157","create "
"158","trying "
"159","help "
"160","phase "
"161","tasks "
"162","three "
"163","part "
"164","related "
"165","made "
"166","method "
"167","see "
"168","hypothesis "
"169","ask "
"170","action "
"171","many "
"172","ability "
"173","epistemic "
"174","particular "
"175","mathematical "
"176","domain "
"177","levels "
"178","construct "
"179","purpose "
"180","mathematics "
"181","learner "
"182","learned "
"183","conclusions "
"184","theoretical "
"185","problemsolving "
"186","basis "
"187","effective "
"188","theories "
"189","engaged "
"190","handson "
"191","designed "
"192","reflection "
"193","pupils "
"194","structured "
"195","across "
"196","1 "
"197","reflect "
"198","simple "
"199","community "
"200","just "
"201","according "
