Id,Label,timeset,v_name,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks
n0,practice,,practice,13,11,24,13,14,27,10,0.2511,0.27484,53993.516356,16,0.001428
n1,inquiry,,inquiry,82,100,182,131,131,262,9,0.313247,0.364787,1051634.481906,16,0.014053
n2,think,,think,5,5,10,5,5,10,11,0.195152,0.207327,17628.476503,21,0.000534
n3,pedagogies,,pedagogies,3,3,6,3,3,6,12,0.183507,0.194181,7913.760387,18,0.000333
n4,digital,,digital,7,4,11,7,7,14,11,0.196465,0.209166,13784.927877,21,0.000815
n5,age,,age,4,4,8,4,4,8,11,0.214375,0.228939,6356.362641,8,0.000473
n6,opportunity,,opportunity,2,2,4,2,2,4,10,0.20989,0.222679,2850.213401,8,0.000258
n7,reconsider,,reconsider,1,1,2,1,1,2,10,0.20262,0.21417,20.741513,8,0.000169
n8,basic,,basic,8,5,13,8,8,16,9,0.254006,0.277594,20294.858038,16,0.000931
n9,models,,models,20,22,42,23,23,46,10,0.261374,0.290264,135726.161885,0,0.002484
n10,teaching,,teaching,18,12,30,20,19,39,10,0.260578,0.287355,60159.385343,5,0.002083
n11,learning,,learning,73,83,156,117,118,235,9,0.301444,0.347689,849270.629663,5,0.012154
n12,one,,one,15,16,31,17,17,34,10,0.225421,0.245093,86693.984739,9,0.001998
n13,starting,,starting,3,2,5,3,4,7,11,0.192967,0.203841,1386.098263,18,0.000366
n14,point,,point,6,8,14,8,8,16,11,0.224162,0.242084,34164.887472,18,0.000863
n15,interests,,interests,1,1,2,1,1,2,11,0.171589,0.179513,273.134725,21,0.000151
n16,learner,,learner,8,8,16,8,8,16,10,0.207063,0.221836,24208.579862,21,0.000943
n17,categorized,,categorized,1,1,2,1,1,2,12,0.158714,0.165254,1408.816967,6,0.000159
n18,johndewey,,johndewey,2,2,4,2,2,4,11,0.188588,0.199703,8368.265967,6,0.00035
n19,“the,,“the,2,2,4,2,2,4,11,0.19137,0.203188,1820.970452,1,0.000349
n20,interest,,interest,5,5,10,5,5,10,10,0.22311,0.241246,18267.778896,21,0.000715
n21,conversation,,conversation,1,1,2,1,1,2,11,0.196135,0.206853,170.529752,21,0.00018
n22,communication,,communication,4,5,9,5,5,10,10,0.243875,0.265253,12788.184049,0,0.000663
n23,finding,,finding,5,4,9,5,5,10,11,0.199844,0.211825,7536.378898,12,0.000565
n24,things,,things,6,6,12,8,8,16,10,0.217886,0.234151,14604.268905,12,0.000943
n25,making,,making,8,8,16,11,11,22,10,0.217443,0.23445,36538.108816,12,0.001187
n26,construction,,construction,7,8,15,8,8,16,10,0.259473,0.286249,29901.473809,1,0.000924
