"","x"
"1","practice"
"2","inquiry"
"3","think"
"4","pedagogy"
"5","digital"
"6","age"
"7","opportunity"
"8","reconsider"
"9","basic"
"10","model"
"11","teacher"
"12","learn"
"13","one"
"14","start"
"15","point"
"16","interest"
"17","learner"
"18","category_classify"
"19","dewey"
"20","conversation"
"21","communicate"
"22","find"
"23","things"
"24","make"
"25","construct"
"26","artistic"
"27","expression"
"28","called"
"29","natural"
"30","resource"
"31","uninvested"
"32","capital"
"33","upon"
"34","depend"
"35","active"
"36","growth"
"37","child"
"38","dewey1956pp47<U+2013>48"
"39","state"
"40","similar"
"41","idea"
"42","process"
"43","form"
"44","stage"
"45","reflective"
"46","action"
"47","definition"
"48","latter"
"49","use"
"50","situation"
"51","provide"
"52","descriptive"
"53","account"
"54","survive"
"55","world"
"56","controlled"
"57","direct"
"58","transformation"
"59","indeterminate"
"60","determine"
"61","constituent"
"62","distinction"
"63","relation"
"64","convert"
"65","elements"
"66","original"
"67","unified"
"68","whole"
"69","inspire"
"70","source"
"71","fundamental"
"72","begin"
"73","spiral"
"74","path"
"75","envisioned"
"76","ask"
"77","question"
"78","investigate"
"79","solution"
"80","create"
"81","discuss"
"82","discover"
"83","experiences"
"84","reflect"
"85","new"
"86","knowledge"
"87","follow"
"88","brucebishop2002"
"89","phase"
"90","lead"
"91","next"
"92","authentic"
"93","teachable"
"94","moment"
"95","explore"
"96","turn"
"97","brucedavidson1996"
"98","thus"
"99","solve"
"100","problem"
"101","may"
"102","reformulating"
"103","posing"
"104","closely"
"105","tied"
"106","dialogue"
"107","others"
"108","cycle"
"109","present"
"110","aspect"
"111","need"
"112","support"
"113","success"
"114","environment"
"115","serve"
"116","boundary"
"117","object"
"118","stargriesmer1989"
"119","allow"
"120","us"
"121","relate"
"122","theory"
"123","ordinary"
"124","look"
"125","across"
"126","modes"
"127","context"
"128","inform"
"129","guide"
"130","education"
"131","important"
"132","note"
"133","merely"
"134","suggestive"
"135","neither"
"136","sole"
"137","complete"
"138","rigid"
"139","characterization"
"140","actual"
"141","rarely"
"142","proceeds"
"143","simple"
"144","linear"
"145","fashion"
"146","five"
"147","dimension"
"148","overlap"
"149","every"
"150","given"
"151","embed"
"152","fact"
"153","nature"
"154","mutual"
"155","reinforce"
"156","interrelated"
"157","despite"
"158","complex"
"159","highlights"
"160","otherwise"
"161","opaque"
"162","reminds"
"163","develop"
"164","arise"
"165","experience"
"166","meaning"
"167","genuine"
"168","reallife"
"169","challenge"
"170","refer"
"171","part"
"172","include"
"173","individual"
"174","participate"
"175","community"
"176","something"
"177","delivered"
"178","outside"
"179","example"
"180","come"
"181","early"
"182","study"
"183","computer"
"184","research"
"185","found"
"186","student"
"187","become"
"188","engaged"
"189","bug"
"190","software"
"191","behavior"
"192","led"
"193","deep"
"194","programming"
"195","enormous"
"196","different"
"197","answer"
"198","someone"
"199","elses"
"200","formulate"
"201","oldsschwartzwillie1980p40"
"202","caution"
"203","always"
"204","well"
"205","articulate"
"206","elspethhuxley1959"
"207","best"
"208","way"
"209","fire"
"210","like"
"211","firing"
"212","gun"
"213","bang"
"214","goes"
"215","everything"
"216","take"
"217","flight"
"218","runs"
"219","shelter"
"220","sit"
"221","quite"
"222","still"
"223","pretend"
"224","little"
"225","will"
"226","peck"
"227","round"
"228","feet"
"229","venture"
"230","forth"
"231","thickets"
"232","intent"
"233","creep"
"234","sun"
"235","stone"
"236","patient"
"237","see"
"238","understand"
"239","great"
