"","x"
"1","practice"
"2","inquiry"
"3","think"
"4","pedagogies"
"5","digital"
"6","age"
"7","opportunity"
"8","reconsider"
"9","basic"
"10","models"
"11","teaching"
"12","learning"
"13","one"
"14","starting"
"15","point"
"16","interests"
"17","learner"
"18","categorized"
"19","johndewey"
"20","interest"
"21","conversation"
"22","communication"
"23","finding"
"24","things"
"25","making"
"26","construction"
"27","artistic"
"28","expression"
"29","called"
"30","natural"
"31","resources"
"32","uninvested"
"33","capital"
"34","upon"
"35","depends"
"36","active"
"37","growth"
"38","child"
"39","dewey1956pp47<U+2013>48"
"40","dewey"
"41","stated"
"42","similar"
"43","ideas"
"44","process"
"45","form"
"46","stages"
"47","reflective"
"48","action"
"49","dewey1910"
"50","definition"
"51","latter"
"52","uses"
"53","idea"
"54","situation"
"55","provide"
"56","descriptive"
"57","account"
"58","survive"
"59","world"
"60","controlled"
"61","directed"
"62","transformation"
"63","indeterminate"
"64","determinate"
"65","constituent"
"66","distinctions"
"67","relations"
"68","convert"
"69","elements"
"70","original"
"71","unified"
"72","whole"
"73","dewey1991p108"
"74","inspired"
"75","sources"
"76","fundamental"
"77","begins"
"78","curiosity"
"79","spiral"
"80","path"
"81","envisioned"
"82","asking"
"83","questions"
"84","investigating"
"85","solutions"
"86","creating"
"87","discussing"
"88","discoveries"
"89","experiences"
"90","reflecting"
"91","newfound"
"92","knowledge"
"93","followed"
"94","new"
"95","brucebishop2002"
"96","step"
"97","naturally"
"98","leads"
"99","next"
"100","inspiring"
"101","investigations"
"102","opportunities"
"103","authentic"
"104","teachable"
"105","moments"
"106","question"
"107","exploration"
"108","turn"
"109","investigate"
"110","brucedavidson1996"
"111","thus"
"112","reflection"
"113","solving"
"114","problem"
"115","may"
"116","lead"
"117","reformulating"
"118","posing"
"119","similarly"
"120","closely"
"121","tied"
"122","dialogue"
"123","others"
"124","cycle"
"125","presents"
"126","aspects"
"127","need"
"128","support"
"129","successful"
"130","environment"
"131","serves"
"132","boundary"
"133","object"
"134","stargriesmer1989"
"135","allowing"
"136","us"
"137","relate"
"138","theory"
"139","ordinary"
"140","practices"
"141","look"
"142","across"
"143","modes"
"144","contexts"
"145","used"
"146","inform"
"147","guide"
"148","educational"
"149","learners"
"150","important"
"151","note"
"152","merely"
"153","suggestive"
"154","neither"
"155","sole"
"156","complete"
"157","rigid"
"158","characterization"
"159","inquirybased"
"160","actuality"
"161","rarely"
"162","proceeds"
"163","simple"
"164","linear"
"165","fashion"
"166","five"
"167","dimensions"
"168","ask"
"169","create"
"170","discuss"
"171","reflect"
"172","overlap"
"173","every"
"174","category"
"175","present"
"176","given"
"177","embedded"
"178","fact"
"179","nature"
"180","steps"
"181","mutually"
"182","reinforcing"
"183","interrelated"
"184","despite"
"185","complexities"
"186","highlights"
"187","otherwise"
"188","opaque"
"189","dimension"
"190","reminds"
"191","develops"
"192","arising"
"193","experience"
"194","meaningful"
"195","genuine"
"196","realworld"
"197","challenges"
"198","refers"
"199","part"
"200","including"
"201","individuals"
"202","participation"
"203","community"
"204","something"
"205","delivered"
"206","outside"
"207","example"
"208","comes"
"209","early"
"210","study"
"211","computers"
"212","researchers"
"213","found"
"214","students"
"215","became"
"216","engaged"
"217","bug"
"218","computer"
"219","software"
"220","exploring"
"221","behavior"
"222","led"
"223","deep"
"224","programming"
"225","noted"
"226","enormous"
"227","pedagogical"
"228","difference"
"229","answering"
"230","someone"
"231","elses"
"232","formulating"
