"","x"
"1",5
"2",5
"3",7
"4",9
"5",3
"6",5
"7",5
"8",5
"9",5
"10",10
"11",12
"12",5
"13",9
"14",1
"15",1
"16",9
"17",9
"18",10
"19",19
"20",11
"21",8
"22",8
"23",1
"24",11
"25",3
"26",8
"27",8
"28",11
"29",11
"30",9
"31",9
"32",9
"33",9
"34",9
"35",13
"36",13
"37",13
"38",19
"39",2
"40",2
"41",10
"42",5
"43",5
"44",10
"45",11
"46",11
"47",19
"48",7
"49",10
"50",9
"51",3
"52",2
"53",6
"54",6
"55",11
"56",11
"57",11
"58",11
"59",9
"60",2
"61",2
"62",2
"63",7
"64",9
"65",9
"66",13
"67",1
"68",1
"69",9
"70",9
"71",9
"72",9
"73",3
"74",3
"75",11
"76",11
"77",11
"78",4
"79",3
"80",1
"81",1
"82",3
"83",7
"84",1
"85",6
"86",6
"87",5
"88",12
"89",12
"90",13
"91",5
"92",7
"93",11
"94",11
"95",13
"96",9
"97",5
"98",5
"99",15
"100",15
"101",4
"102",15
"103",6
"104",7
"105",7
"106",7
"107",7
"108",10
"109",5
"110",5
"111",4
"112",4
"113",2
"114",13
"115",4
"116",16
"117",16
"118",4
"119",4
"120",5
"121",14
"122",10
"123",5
"124",1
"125",2
"126",9
"127",9
"128",19
"129",5
"130",9
"131",9
"132",16
"133",16
"134",16
"135",7
"136",7
"137",7
"138",7
"139",7
"140",5
"141",11
"142",11
"143",11
"144",17
"145",17
"146",12
"147",5
"148",5
"149",5
"150",5
"151",3
"152",11
"153",5
"154",7
"155",7
"156",14
"157",14
"158",15
"159",19
"160",5
"161",5
"162",5
"163",5
"164",11
"165",7
"166",9
"167",9
"168",7
"169",9
"170",6
"171",19
"172",5
"173",7
"174",7
"175",7
"176",16
"177",16
"178",16
"179",6
"180",11
"181",9
"182",9
"183",9
"184",9
"185",13
"186",4
"187",10
"188",4
"189",4
"190",1
"191",2
"192",4
"193",4
"194",9
"195",16
"196",11
"197",11
"198",11
"199",11
"200",14
"201",9
"202",5
"203",1
"204",2
"205",10
"206",2
"207",8
"208",8
"209",11
"210",2
"211",6
"212",6
"213",6
"214",6
"215",6
"216",1
"217",14
"218",14
"219",14
"220",14
"221",14
"222",14
"223",14
"224",15
"225",11
"226",11
"227",11
"228",11
"229",3
"230",3
"231",3
"232",3
"233",11
"234",11
"235",11
"236",11
"237",1
"238",5
"239",9
"240",6
"241",6
"242",6
"243",7
"244",15
"245",15
"246",10
"247",8
"248",8
"249",11
"250",7
"251",4
"252",4
"253",2
"254",2
"255",2
"256",5
"257",5
"258",5
"259",4
"260",9
"261",9
"262",10
"263",10
"264",7
"265",7
"266",11
"267",7
"268",12
"269",12
"270",6
"271",9
"272",5
"273",4
"274",11
"275",5
"276",4
"277",7
"278",13
"279",18
"280",18
"281",8
"282",13
"283",9
"284",10
"285",10
"286",18
"287",8
"288",8
"289",8
"290",8
"291",6
"292",11
"293",6
"294",11
"295",6
"296",6
"297",6
"298",19
"299",14
"300",7
"301",7
"302",7
"303",4
"304",11
"305",5
"306",10
"307",5
"308",9
"309",9
"310",16
"311",8
"312",3
"313",3
"314",8
"315",1
"316",5
"317",13
"318",9
"319",16
"320",16
"321",10
"322",10
"323",7
"324",7
"325",13
"326",13
"327",4
"328",15
"329",13
"330",5
"331",13
"332",1
"333",1
"334",3
"335",11
"336",11
"337",6
"338",11
"339",11
"340",5
"341",15
"342",2
"343",7
"344",5
"345",3
"346",1
"347",7
"348",5
"349",5
"350",5
"351",8
"352",1
"353",7
"354",7
"355",7
"356",7
"357",9
"358",7
"359",2
"360",6
"361",9
"362",7
"363",7
"364",5
"365",8
"366",5
"367",5
"368",9
"369",9
"370",9
"371",14
"372",14
"373",14
"374",12
"375",4
"376",4
"377",10
"378",10
"379",2
"380",7
"381",5
"382",11
"383",10
"384",16
"385",12
"386",10
"387",5
"388",5
"389",4
"390",11
"391",4
"392",7
"393",10
"394",9
"395",9
"396",9
"397",10
"398",3
"399",2
"400",5
"401",1
"402",5
"403",10
"404",5
"405",5
"406",7
"407",13
"408",6
"409",1
"410",4
"411",11
"412",9
"413",6
"414",10
"415",8
"416",8
"417",8
"418",8
"419",8
"420",3
"421",3
"422",2
"423",5
"424",9
"425",5
"426",19
"427",13
"428",10
"429",10
"430",6
"431",6
"432",10
"433",16
"434",3
"435",12
"436",11
"437",11
"438",13
"439",19
"440",5
"441",5
"442",15
"443",15
"444",15
"445",15
"446",10
"447",6
"448",5
"449",7
"450",4
"451",1
"452",1
"453",4
"454",4
"455",4
"456",13
"457",15
"458",10
"459",15
"460",15
"461",4
"462",4
"463",8
"464",13
"465",17
"466",17
"467",10
"468",10
"469",10
"470",1
"471",1
"472",5
"473",1
"474",5
"475",8
"476",4
"477",10
"478",10
"479",10
"480",10
"481",18
"482",3
"483",11
"484",11
"485",12
"486",5
"487",9
"488",13
"489",8
"490",8
"491",15
"492",5
"493",13
"494",10
"495",18
"496",18
"497",18
"498",10
"499",5
"500",5
"501",1
"502",1
"503",1
"504",10
"505",2
"506",7
"507",1
"508",9
"509",4
"510",4
"511",4
"512",1
"513",1
"514",14
