Id,Word,Module,Frequency,indegree,outdegree,Degree
n0,researcher,16,5,1,3,4
n1,devised,16,2,1,1,2
n2,practice,13,59,8,1,9
n3,profile,17,4,0,2,2
n4,inquiry,13,153,25,1,26
n5,caseybruce2011,6,2,0,1,1
n6,caseyetal2009,6,2,1,1,2
n7,basedon,6,34,5,1,6
n8,element,5,23,3,2,5
n9,cycle,19,27,2,1,3
n10,add,17,40,9,1,10
n11,rating,2,4,0,2,2
n12,participate,13,24,5,1,6
n13,print,9,8,1,4,5
n14,literacy,9,10,3,1,4
n15,use,17,211,30,1,31
n16,digital,17,16,3,1,4
n17,media,17,8,1,4,5
n18,propose,17,3,1,2,3
n19,tool,17,38,11,1,12
n20,help,1,36,7,1,8
n21,teacher,15,304,54,1,55
n22,plan,9,50,9,1,10
n23,project,8,62,9,3,12
n24,activity,9,192,40,1,41
n25,optimize,9,2,0,1,1
n26,learn,9,154,27,1,28
n27,see,4,73,18,1,19
n28,table,3,31,5,1,6
n29,2,12,47,10,1,11
n30,regard,17,10,2,1,3
n31,matrix,15,2,0,1,1
n32,question,15,124,19,3,22
n33,encourage,1,18,3,1,4
n34,map,9,6,0,3,3
n35,anticipated,9,2,1,1,2
n36,group,9,56,11,1,12
n37,work,15,62,11,1,12
n38,text,3,32,5,1,6
n39,way,19,46,10,2,12
n40,constant,19,4,1,2,3
n41,emphasize,10,18,2,9,11
n42,situation,1,18,2,1,3
n43,maintained,15,2,0,1,1
n44,ibse,15,9,3,1,4
n45,five,5,3,0,2,2
n46,constitute,5,6,1,3,4
n47,ask,15,82,10,1,11
n48,investigate,15,108,18,1,19
n49,create,14,42,3,2,5
n50,discuss,9,86,12,4,16
n51,reflect,9,19,6,1,7
n52,enable,1,16,2,8,10
n53,sustained,1,4,2,2,4
n54,enriched,1,2,1,1,2
n55,range,6,10,3,5,8
n56,confined,1,2,0,1,1
n57,illustrate,1,13,3,1,4
n58,surface,11,4,0,2,2
n59,deep,11,14,2,1,3
n60,implicit,11,6,1,3,4
n61,dimension,10,14,2,1,3
n62,pedagogy,10,18,5,1,6
n63,gleaned,15,2,0,1,1
n64,observational,15,4,1,2,3
n65,data,6,72,9,1,10
n66,achieve,8,2,0,1,1
n67,authors,8,4,1,2,3
n68,present,3,22,8,1,9
n69,redacted,15,2,0,1,1
n70,research,15,16,4,1,5
n71,field,1,6,1,3,4
n72,note,1,10,2,5,7
n73,one,2,83,18,1,19
n74,case,1,14,3,1,4
n75,study,20,54,11,1,12
n76,titled,6,2,0,1,1
n77,make,6,118,18,1,19
n78,banana,15,12,0,1,1
n79,split,15,14,1,7,8
n80,describe_ption,2,39,4,3,7
n81,involve,10,12,2,6,8
n82,class,17,88,17,1,18
n83,23,3,2,0,1,1
n84,boy,3,18,4,9,13
n85,8,3,12,4,6,10
n86,9,3,7,2,3,5
n87,yearolds,3,2,1,1,2
n88,taught,10,20,2,1,3
n89,recently,9,2,0,1,1
n90,qualified,9,2,1,1,2
n91,female,9,6,2,3,5
n92,aid,15,4,0,2,2
n93,special,15,2,1,1,2
n94,resource,15,12,4,6,10
n95,spans,8,6,2,3,5
n96,three,9,61,12,1,13
n97,week,15,22,5,2,7
n98,state,16,28,8,1,9
n99,aim,14,21,3,1,4
n100,product,9,14,1,7,8
n101,audiovisual,9,2,1,1,2
n102,slide,3,4,1,1,2
n103,show,3,58,11,1,12
n104,begin,10,28,8,14,22
n105,pupils,9,18,4,1,5
n106,ingredient,8,4,1,2,3
n107,need,6,72,12,1,13
n108,review,10,4,1,2,3
n109,key,10,18,4,1,5
n110,vocabulary,12,12,1,6,7
n111,word,1,8,2,4,6
n112,cards,1,6,1,3,4
n113,follow,3,40,7,2,9
n114,phase,12,42,7,1,8
n115,recipe,9,2,0,1,1
n116,picture,3,86,10,3,13
n117,made,6,58,13,3,16
n118,assign,1,2,0,1,1
n119,role,1,24,5,1,6
n120,taker,1,2,1,1,2
n121,maker,15,2,1,1,2
n122,complete,6,8,1,1,2
n123,much,17,10,1,5,6
n124,fun,14,4,2,2,4
n125,eat,14,24,3,12,15
n126,finished,15,8,1,1,2
n127,story,3,7,1,3,4
n128,software,3,2,1,1,2
n129,process,13,62,6,1,7
n130,order,9,18,2,9,11
n131,transition,22,8,1,4,5
n132,effect,13,20,3,10,13
n133,image,17,14,4,7,11
n134,background,3,6,1,1,2
n135,music,3,4,1,1,2
n136,support,1,50,12,1,13
n137,suitable,16,16,3,3,6
n138,get,17,42,8,1,9
n139,choice,16,53,7,4,11
n140,piece,14,10,4,1,5
n141,four,10,44,8,1,9
n142,movie,7,18,1,1,2
n143,showcase,12,2,0,1,1
n144,school,12,42,9,3,12
n145,structure,11,40,6,2,8
n146,whereby,9,4,0,2,2
n147,design,2,53,10,1,11
n148,control,6,11,2,1,3
n149,conditions,15,6,0,3,3
n150,leaving,12,10,2,5,7
n151,unsupported,12,2,1,1,2
n152,ability,13,10,1,5,6
n153,draw,6,88,14,1,15
n154,upon,9,10,2,5,7
n155,manage,9,4,1,2,3
n156,instruct_guide,13,18,5,9,14
n157,natural,2,14,3,2,5
n158,impuls,8,2,0,1,1
n159,toward,8,12,2,6,8
n160,goal,9,12,1,1,2
n161,often,4,8,0,4,4
n162,guide,13,53,10,1,11
n163,classroom,9,48,9,2,11
n164,sometimes,3,14,3,7,10
n165,seek,3,2,1,1,2
n166,arouse,3,2,1,1,2
n167,interest,13,52,15,2,17
n168,times,1,4,1,2,3
n169,specify,1,4,1,2,3
n170,individual,1,8,2,4,6
n171,within,9,30,7,2,9
n172,still,1,10,0,5,5
n173,function,17,17,3,1,4
n174,model,13,57,9,2,11
n175,scaffold,1,23,3,1,4
n176,collaborative,6,16,3,8,11
n177,task,6,32,9,1,10
n178,per,17,12,0,1,1
n179,se,10,4,0,2,2
n180,final,10,10,2,5,7
n181,end,10,24,5,1,6
n182,student,6,243,48,1,49
n183,participant,15,12,0,6,6
n184,conceiving,9,2,1,1,2
n185,social,15,18,6,1,7
n186,value,20,12,3,6,9
n187,perspective,14,7,3,3,6
n188,contribute,4,4,1,2,3
n189,others,6,12,5,5,10
n190,primary,12,25,2,1,3
n191,education,13,22,3,1,4
n192,learner,2,6,0,3,3
n193,world,2,37,7,1,8
n194,opportunity,1,28,6,1,7
n195,ahead,10,2,0,1,1
n196,signature,10,4,1,1,2
n197,sharply,16,2,0,1,1
n198,define,16,8,3,4,7
n199,instead,16,2,1,1,2
n200,set,9,37,5,1,6
n201,concept,13,141,35,1,36
n202,openended,15,10,0,2,2
n203,argue,8,4,2,2,4
n204,general,13,12,1,6,7
n205,indeed,1,1,0,1,1
n206,child,1,496,97,1,98
n207,develop,13,97,15,5,20
n208,understand,13,120,27,1,28
n209,experience,1,54,7,2,9
n210,appropriate,13,10,1,5,6
n211,science,13,283,64,1,65
n212,reason,16,14,2,1,3
n213,cause,13,6,0,3,3
n214,consider,2,10,4,1,5
n215,idea,10,62,9,1,10
n216,belief,9,2,0,1,1
n217,dynamic,9,10,4,5,9
n218,potential,17,30,6,1,7
n219,improve,13,8,2,4,6
n221,conduct,15,16,2,1,3
n222,sixweek,1,2,0,1,1
n223,informal,1,4,2,2,4
n224,program,15,14,4,1,5
n225,large,9,14,4,1,5
n226,midwest,2,2,0,1,1
n227,university,2,2,1,1,2
n228,educators,2,4,1,2,3
n229,able,2,22,3,1,4
n230,focus,10,40,10,20,30
n231,specific,14,24,7,1,8
n232,aspect,13,24,4,2,6
n233,nature,13,30,5,1,6
n234,instruction,13,28,3,1,4
n235,unit,15,30,6,2,8
n236,include,8,70,13,1,14
n237,introduce,1,37,3,1,4
n238,decontextualized,9,2,0,1,1
n239,embed,13,6,1,3,4
n240,content,16,25,1,1,2
n241,contextual,9,8,2,4,6
n242,literature,15,2,0,1,1
n243,debrief,15,4,1,2,3
n244,assess,13,22,6,11,17
n245,studentdesigned,13,2,0,1,1
n246,strategy,6,20,5,10,15
n247,empirical,6,14,4,1,5
n248,creative,13,6,1,3,4
n249,tentative,13,2,1,1,2
n250,robust,13,4,1,2,3
n251,subjective,13,2,1,1,2
n252,well,11,27,4,2,6
n253,distinguish,6,8,0,1,1
n254,observation,6,113,11,1,12
n255,infer,6,76,5,1,6
n256,day,8,23,5,1,6
n257,africanamerican,6,6,2,3,5
n258,girl,6,24,5,2,7
n259,will,6,42,7,1,8
n260,different,9,83,15,1,16
n261,read,3,36,7,1,8
n262,sevenblindmice,6,2,0,1,1
n263,young1992,6,2,1,1,2
n264,journal,6,6,0,3,3
n265,cover,3,2,0,1,1
n266,whatdoyoudowithataillikethis,9,2,0,1,1
n267,jenkinspage2003,9,2,1,1,2
n268,5,14,24,4,1,5
n269,sense,6,22,2,11,13
n270,relate,18,20,4,10,14
n271,skill,13,61,10,1,11
n272,1,3,44,6,1,7
n273,scientist,16,51,6,1,7
n274,ledermanabdelkhalick1998,14,12,2,6,8
n275,dog,14,2,1,1,2
n276,among,1,12,5,1,6
n277,spot,9,4,0,2,2
n278,old,16,4,1,2,3
n279,woman,16,4,1,2,3
n280,young,1,34,5,1,6
n281,tricky,2,2,1,1,2
n282,track_trace,2,4,2,2,4
n283,ledermanabdelkhalick1998understand,6,2,0,1,1
n284,predict,6,70,9,7,16
n285,oppositecubeactivity,14,2,0,1,1
n286,drxarglesbookofearthlets,13,2,0,1,1
n287,willis2002,13,2,1,1,2
n288,cube,14,8,1,4,5
n289,think,14,68,12,5,17
n290,tubes,14,4,1,2,3
n291,dinosaur,16,4,0,2,2
n292,thedinosauralphabetbook,18,2,0,1,1
n293,pallota1990,18,2,1,1,2
n294,living,18,20,2,1,3
n295,versus,6,12,0,1,1
n296,nonliving,6,8,1,4,5
n297,sort,15,6,0,3,3
n298,common,15,10,4,1,5
n299,item,14,10,1,1,2
n300,section,6,4,1,2,3
n301,amealwormslife,6,2,0,1,1
n302,himmelman2001,6,2,1,1,2
n303,mealworm,6,6,0,3,3
n304,observe,6,86,17,1,18
n305,rework,6,2,1,1,2
n306,collect,6,50,6,1,7
n307,theextinctalphabetbook,6,2,0,1,1
