,Source,Target,Weight
1,researcher,devised,1
2,researcher,collaborative,1
3,researcher,interviewing,1
4,devised,practice,1
5,practice,inquiry,3
6,profile,inquiry,1
7,profile,regard,1
8,inquiry,process,7
9,caseybruce2011,caseyetal2009,1
10,caseyetal2009,basedon,1
11,basedon,observation,5
12,element,inquiry,2
13,element,marked,2
14,cycle,way,2
15,add,second,2
16,rating,participate,1
17,rating,stir,1
18,participate,model,4
19,print,literacy,1
20,print,plan,1
21,print,introduce,1
22,print,fingerprint,1
23,literacy,activity,2
24,use,science,4
25,digital,image,3
26,media,use,1
27,media,digital,1
28,media,propose,1
29,media,include,1
30,propose,tool,1
31,propose,child,1
32,tool,use,6
33,help,child,6
34,teacher,ask,9
35,plan,activity,4
36,project,teacher,2
37,project,spans,2
38,project,every,2
39,activity,child,5
40,optimize,learn,1
41,learn,activity,4
42,see,figure,5
43,table,1,4
44,2,picture,2
45,regard,time,2
46,matrix,question,1
47,question,teacher,3
48,question,make,3
49,question,collect,3
50,encourage,child,2
51,map,anticipated,1
52,map,science,1
53,map,outdoor,1
54,anticipated,activity,1
55,group,discuss,5
56,work,pairs,3
57,text,show,3
58,way,practice,2
59,way,home,2
60,constant,emphasize,1
61,constant,range,1
62,emphasize,question,1
63,emphasize,class,1
64,emphasize,support,1
65,emphasize,concept,1
66,emphasize,provide,1
67,emphasize,throughout,1
68,emphasize,might,1
69,emphasize,curriculum,1
70,emphasize,metacognition,1
71,situation,child,2
72,maintained,ibse,1
73,ibse,baseline,2
74,five,constitute,1
75,five,halfhourlong,1
76,constitute,element,1
77,constitute,early,1
78,constitute,core,1
79,ask,question,9
80,investigate,water,3
81,create,nest,2
82,create,explanation,2
83,discuss,reflect,2
84,discuss,model,2
85,discuss,student,2
86,discuss,lesson,2
87,reflect,upon,2
88,enable,sustained,1
89,enable,illustrate,1
90,enable,child,1
91,enable,observe,1
92,enable,explore,1
93,enable,compare,1
94,enable,framework,1
95,enable,construct,1
96,sustained,participate,1
97,sustained,enriched,1
98,enriched,range,1
99,range,inquiry,1
100,range,plan,1
101,range,experiment,1
102,range,possible,1
103,range,25,1
104,confined,illustrate,1
105,illustrate,child,2
106,surface,deep,1
107,surface,tension,1
108,deep,structure,2
109,implicit,dimension,1
110,implicit,structure,1
111,implicit,think,1
112,dimension,pedagogy,2
113,pedagogy,documents,2
114,gleaned,observational,1
115,observational,data,1
116,observational,environment,1
117,data,observe,7
118,achieve,authors,1
119,authors,present,1
120,authors,argue,1
121,present,table,2
122,redacted,research,1
123,research,question,2
124,field,note,1
125,field,experience,1
126,field,trip,1
127,note,one,1
128,note,made,1
129,note,taker,1
130,note,whether,1
131,note,outdoor,1
132,one,child,3
133,case,child,2
134,study,seed,3
135,titled,make,1
136,make,infer,10
137,banana,split,6
138,split,teacher,1
139,split,case,1
140,split,class,1
141,split,begin,1
142,split,pupils,1
143,split,maker,1
144,split,two,1
145,describe_ption,one,2
146,describe_ption,task,2
147,describe_ption,pattern,2
148,involve,teacher,1
149,involve,class,1
150,involve,follow,1
151,involve,structure,1
152,involve,instruct_guide,1
153,involve,vocally,1
154,class,use,4
155,23,boy,1
156,boy,see,1
157,boy,8,1
158,boy,show,1
159,boy,follow,1
160,boy,made,1
161,boy,say,1
162,boy,notice,1
163,boy,urban,1
164,boy,10,1
165,8,tool,1
166,8,boy,1
167,8,9,1
168,8,child,1
169,8,repetition,1
170,8,degree,1
171,9,tool,1
172,9,yearolds,1
173,9,however,1
174,yearolds,taught,1
175,taught,lesson,2
176,recently,qualified,1
177,qualified,female,1
178,female,teacher,1
179,female,large,1
180,female,highest,1
181,aid,make,1
182,aid,special,1
183,special,resource,1
184,resource,use,1
185,resource,teacher,1
186,resource,develop,1
187,resource,display,1
188,resource,independent,1
189,resource,information,1
190,spans,three,1
191,spans,5,1
192,spans,time,1
193,three,different,7
194,week,teacher,2
195,week,study_teacher,2
196,state,problem,2
197,aim,create,2
198,product,question,1
199,product,discuss,1
200,product,audiovisual,1
201,product,collective,1
202,product,desired,1
203,product,slowmation,1
204,product,responses,1
205,audiovisual,slide,1
206,slide,show,2
207,show,picture,16
208,begin,teacher,1
209,begin,learn,1
210,begin,class,1
211,begin,model,1
212,begin,student,1
213,begin,develop,1
214,begin,reason,1
215,begin,lesson,1
216,begin,curriculum,1
217,begin,soliciting,1
218,begin,press,1
219,begin,animal,1
220,begin,midpoint,1
221,begin,disintegrate,1
222,pupils,learn,2
223,ingredient,need,1
224,ingredient,science,1
225,need,plant,8
226,review,key,1
227,review,collect,1
228,key,idea,3
229,vocabulary,see,1
230,vocabulary,begin,1
231,vocabulary,need,1
232,vocabulary,word,1
233,vocabulary,science,1
234,vocabulary,meaning,1
235,word,digital,1
236,word,cards,1
237,word,photosynthesis,1
238,word,reproduced,1
239,cards,help,1
240,cards,number,1
241,cards,represent,1
242,follow,teacher,2
243,follow,1,2
244,phase,2,3
245,recipe,pupils,1
246,picture,use,3
247,picture,child,3
248,picture,1,3
249,made,observation,3
250,made,predict,3
251,made,possible,3
252,assign,role,1
253,role,adult,2
254,taker,picture,1
255,maker,complete,1
256,complete,task,2
257,much,fun,1
258,much,potential,1
259,much,large,1
260,much,two,1
261,much,shaving,1
262,fun,eat,1
263,fun,child,1
264,eat,finished,1
265,eat,day,1
266,eat,think,1
267,eat,explore,1
268,eat,seed,1
269,eat,provide,1
270,eat,bird,1
271,eat,studychild,1
272,eat,food,1
273,eat,explanation,1
274,eat,b,1
275,eat,greens,1
276,finished,teacher,2
277,story,picture,1
278,story,software,1
279,story,child,1
280,software,make,1
281,process,skill,8
282,order,help,1
283,order,plan,1
284,order,learn,1
285,order,picture,1
286,order,support,1
287,order,category_classify,1
288,order,box,1
289,order,appreciate,1
290,order,impact,1
291,transition,effect,1
292,transition,explore,1
293,transition,next,1
294,transition,formal,1
295,effect,image,1
296,effect,ability,1
297,effect,child,1
298,effect,strategy,1
299,effect,object,1
300,effect,change,1
301,effect,environment,1
302,effect,curriculum,1
303,effect,without,1
304,effect,electric,1
305,image,add,1
306,image,draw,1
307,image,scientist,1
308,image,take,1
309,image,capture,1
310,image,sound,1
311,image,amazon,1
312,background,music,2
313,music,present,2
314,support,child,3
315,suitable,material,2
316,suitable,suggestions,2
317,suitable,suggestion,2
318,get,energy,6
319,choice,use,2
320,choice,suitable,2
321,choice,topic,2
322,choice,suggestions,2
323,piece,paper,2
324,four,lesson,4
325,movie,water,4
326,showcase,school,1
327,school,2,2
328,school,science,2
329,school,year,2
330,structure,inquiry,2
331,structure,investigate,2
332,whereby,pupils,1
333,whereby,interactants,1
334,design,principle,3
335,control,experiment,2
336,conditions,inquiry,1
337,conditions,implement,1
338,conditions,silence,1
339,leaving,unsupported,1
340,leaving,evidence,1
341,leaving,little,1
342,leaving,trace,1
343,leaving,behind,1
344,unsupported,pupils,1
345,ability,draw,1
346,ability,understand,1
347,ability,reason,1
348,ability,consider,1
349,ability,express,1
350,draw,observation,11
351,upon,learn,1
352,upon,way,1
353,upon,manage,1
354,upon,kind,1
355,upon,communicate,1
356,manage,instruct_guide,1
357,manage,classroom,1
358,instruct_guide,taught,1
359,instruct_guide,draw,1
360,instruct_guide,natural,1
361,instruct_guide,guide,1
362,instruct_guide,model,1
363,instruct_guide,child,1
364,instruct_guide,will,1
365,instruct_guide,built,1
366,instruct_guide,inventive,1
367,natural,design,2
368,natural,world,2
369,impuls,toward,1
370,toward,project,1
371,toward,learn,1
372,toward,piece,1
373,toward,include,1
374,toward,initial,1
375,toward,depict,1
376,goal,activity,2
377,often,teacher,1
378,often,learn,1
379,often,see,1
380,often,scaffold,1
381,guide,inquiry,3
382,classroom,teacher,2
383,classroom,activity,2
384,sometimes,seek,1
385,sometimes,will,1
386,sometimes,read,1
387,sometimes,live_habitat,1
388,sometimes,mathematical,1
389,sometimes,return,1
390,sometimes,capricious,1
391,seek,arouse,1
392,arouse,interest,1
393,interest,science,2
394,interest,frame,2
395,times,encourage,1
396,times,specify,1
397,specify,activity,1
398,specify,individual,1
399,individual,inquiry,1
400,individual,role,1
401,individual,stage,1
402,individual,nest,1
403,within,group,2
404,within,classroom,2
405,still,times,1
406,still,think,1
407,still,misconceptions,1
408,still,curious,1
409,still,play,1
410,function,tool,2
411,model,concept,2
412,model,skill,2
413,scaffold,child,4
414,collaborative,classroom,1
415,collaborative,task,1
416,collaborative,student,1
417,collaborative,try,1
418,collaborative,interpret,1
419,collaborative,orient,1
420,collaborative,coconstruct,1
421,collaborative,disposition,1
422,task,student,5
423,per,class,4
424,se,final,1
425,se,construct,1
426,final,activity,1
427,final,get,1
428,final,draw,1
429,final,end,1
430,final,lesson,1
431,end,lesson,2
432,student,draw,13
433,participant,teacher,1
434,participant,ask,1
435,participant,conceiving,1
436,participant,understand,1
437,participant,science,1
438,participant,two,1
439,conceiving,learn,1
440,social,unit,2
441,value,perspective,1
442,value,child,1
443,value,adapt,1
444,value,take,1
445,value,broad,1
446,value,problemsolving,1
447,perspective,contribute,1
448,perspective,misconception,1
449,perspective,capitalize,1
450,contribute,others,1
451,contribute,object,1
452,others,made,1
453,others,write,1
454,others,share,1
455,others,nsta2004,1
456,others,pose,1
457,primary,school,4
458,education,science,2
459,learner,world,1
460,learner,science,1
461,learner,program,1
462,world,around,2
463,opportunity,child,2
464,ahead,signature,1
465,signature,pedagogy,2
466,sharply,define,1
467,define,instead,1
468,define,hypothesis,1
469,define,example,1
470,define,problem,1
471,instead,need,1
472,set,activity,2
473,concept,understand,7
474,openended,question,2
475,openended,investigate,2
476,argue,inquiry,1
477,argue,crucial,1
