L,Source,Target,Weight
1,practice,science,6
2,inquiry,learn,31
3,think,skill,3
4,pedagogy,tool,2
5,digital,media,4
6,age,opportunity,1
7,age,ask,1
8,age,give,1
9,age,early,1
10,age,effect,1
11,age,groupconcerning,1
12,age,36,1
13,opportunity,learn,2
14,reconsider,basic,1
15,basic,science,6
16,model,use,4
17,teacher,science,7
18,learn,cycle,11
19,one,transdisciplinary,2
20,start,point,5
21,point,interest,1
22,point,make,1
23,point,child,1
24,point,process,1
25,point,use,1
26,point,investigate,1
27,point,formulate,1
28,point,take,1
29,point,initial,1
30,point,observation,1
31,point,facilitate,1
32,point,view,1
33,point,embodied,1
34,point,kind,1
35,point,bruner,1
36,point,outeach,1
37,interest,learner,2
38,interest,question,2
39,learner,use,2
40,category_classify,explain,2
41,dewey,definition,3
42,conversation,want,2
43,communicate,find,2
44,communicate,process,2
45,find,thing,2
46,find,answer,2
47,thing,try,3
48,make,observation,8
49,construct,knowledge,4
50,construct,explanation,4
51,art,express,1
52,art,media,1
53,express,communicate,2
54,call,natural,1
55,call,science,1
56,natural,world,3
57,resource,uninvested,1
58,resource,problem,1
59,resource,information,1
60,resource,bring,1
61,resource,display,1
62,resource,respect,1
63,uninvested,capital,1
64,capital,upon,1
65,upon,depend,1
66,upon,fundamental,1
67,upon,way,1
68,upon,design,1
69,upon,manage,1
70,upon,contemporary,1
71,upon,kind,1
72,depend,active,1
73,depend,nature,1
74,active,engage,4
75,grow,child,1
76,grow,reflective,1
77,child,explore,12
78,dewey1956pp4748,dewey,1
79,state,child,2
80,similar,idea,1
81,similar,action,1
82,similar,phase,1
83,similar,object,1
84,similar,across,1
85,similar,different,1
86,similar,way,1
87,similar,physical,1
88,similar,observe,1
89,similar,function,1
90,similar,stimulate,1
91,similar,appear,1
92,idea,learn,3
93,idea,theory,3
94,idea,evidence,3
95,process,skill,8
96,form,inquiry,1
97,form,construct,1
98,form,stage,1
99,form,question,1
100,form,experience,1
101,form,new,1
102,form,guide,1
103,form,education,1
104,form,complete,1
105,form,understand,1
106,form,physical,1
107,form,collaborative,1
108,form,goal,1
109,form,often,1
110,form,instruction,1
111,form,leefradd1998,1
112,form,representation,1
113,form,visual,1
114,form,motion,1
115,form,schliebenlange1987,1
116,form,consequently,1
117,stage,learn,1
118,stage,reflective,1
119,stage,develop,1
120,stage,become,1
121,stage,articulate,1
122,stage,suggests,1
123,stage,synthesize,1
124,stage,able,1
125,stage,open,1
126,stage,interpret,1
127,stage,5e,1
128,stage,deem,1
129,stage,milleretal2013,1
130,stage,namely,1
131,reflective,action,2
132,action,world,2
133,definition,inquiry,4
134,latter,use,1
135,latter,tend,1
136,use,science,4
137,use,evidence,4
138,situation,context,2
139,provide,inquiry,2
140,provide,child,2
141,provide,appropriate,2
142,descriptive,account,1
143,descriptive,hypothesis,1
144,account,one,1
145,account,survival,1
146,account,new,1
147,account,domain,1
148,survival,world,1
149,world,around,10
150,control,instruct_guide,2
151,instruct_guide,transformation,2
152,transformation,indetermine,1
153,transformation,part,1
154,transformation,student,1
155,indetermine,situation,4
156,determine,child,1
